obs_wl_air(nm)	unc_obs_wl	ritz_wl_air(nm)	unc_ritz_wl	intens	Aki(s^-1)	fik	log_gf	Acc	Ei(cm-1)	Ek(cm-1)	conf_i	term_i	J_i	conf_k	term_k	J_k	Type	tp_ref	line_ref	
"449.4177"	"0.0009"	"449.4180"	"0.0004"	"10"	"1.23e+06"	"7.44e-03"	"-1.827"	B+	"16956.17025"	"39200.93"	"2p6.3p"	"2P*"	"1/2"	"2p6.7d"	"2D"	"3/2"		"c30"	"L6096"	
"449.7658"	"0.0009"	"449.7657"	"0.0004"	"11*"	"1.46e+06"	"6.67e-03"	"-1.574"	B+	"16973.36619"	"39200.93"	"2p6.3p"	"2P*"	"3/2"	"2p6.7d"	"2D"	"5/2"		"c30"	"L6096"	
"449.7658"	"0.0009"	"449.7657"	"0.0004"	"11*"	"2.44e+05"	"7.41e-04"	"-2.528"	B	"16973.36619"	"39200.93"	"2p6.3p"	"2P*"	"3/2"	"2p6.7d"	"2D"	"3/2"		"c30"	"L6096"	
"454.1633"	"0.0009"	"454.1633"	"0.0004"	"7"	"3.76e+05"	"1.16e-03"	"-2.635"	B	"16956.17025"	"38968.51"	"2p6.3p"	"2P*"	"1/2"	"2p6.8s"	"2S"	"1/2"		"c30"	"L6096"	
"454.5186"	"0.0009"	"454.5184"	"0.0004"	"8"	"7.50e+05"	"1.16e-03"	"-2.333"	B	"16973.36619"	"38968.51"	"2p6.3p"	"2P*"	"3/2"	"2p6.8s"	"2S"	"1/2"		"c30"	"L6096"	
"466.48107"	"0.00005"	"466.48107"	"0.00004"	"1"	"2.08e+06"	"1.36e-02"	"-1.565"	B+	"16956.17025"	"38387.268"	"2p6.3p"	"2P*"	"1/2"	"2p6.6d"	"2D"	"3/2"		"c30"	"L15039"	
"466.85595"	"0.00005"	"466.85567"	"0.00004"	"2*"	"4.14e+05"	"1.36e-03"	"-2.264"	B+	"16973.36619"	"38387.268"	"2p6.3p"	"2P*"	"3/2"	"2p6.6d"	"2D"	"3/2"		"c30"	"L15039"	
"466.85595"	"0.00005"	"466.85595"	"0.00004"	"2*"	"2.49e+06"	"1.22e-02"	"-1.312"	A	"16973.36619"	"38387.255"	"2p6.3p"	"2P*"	"3/2"	"2p6.6d"	"2D"	"5/2"		"c30"	"L15039"	
"474.79410"	"0.00005"	"474.79412"	"0.00005"	"1"	"6.19e+05"	"2.09e-03"	"-2.379"	B	"16956.17025"	"38012.042"	"2p6.3p"	"2P*"	"1/2"	"2p6.7s"	"2S"	"1/2"		"c30"	"L15039"	
"475.18218"	"0.00005"	"475.18219"	"0.00005"	"2"	"1.23e+06"	"2.09e-03"	"-2.078"	B	"16973.36619"	"38012.042"	"2p6.3p"	"2P*"	"3/2"	"2p6.7s"	"2S"	"1/2"		"c30"	"L15039"	
"497.85414"	"0.00005"	"497.85414"	"0.00005"	"1"	"4.09e+06"	"3.04e-02"	"-1.216"	A	"16956.17025"	"37036.772"	"2p6.3p"	"2P*"	"1/2"	"2p6.5d"	"2D"	"3/2"		"c30"	"L15039"	
""	""	"498.28084"	"0.00005"	""	"8.15e+05"	"3.03e-03"	"-1.916"	A	"16973.36619"	"37036.772"	"2p6.3p"	"2P*"	"3/2"	"2p6.5d"	"2D"	"3/2"		"c30"	""	
"498.28134"	"0.00005"	"498.28134"	"0.00005"	"2"	"4.88e+06"	"2.73e-02"	"-0.962"	A	"16973.36619"	"37036.752"	"2p6.3p"	"2P*"	"3/2"	"2p6.5d"	"2D"	"5/2"		"c30"	"L15039"	
"507.12"	"0.02"	"507.120"	"0.015"	"270"	"4.1e+07"	"1.2e-01"	"-0.02"	D	"266586.7"	"286300.4"	"2p5.(2P*).3s.3p.(3P*)"	"4D"	"7/2"	"2p5.3s.(3P*).4s"	"4P*"	"5/2"		"T5209"	"L6269"	
"514.88381"	"0.00005"	"514.88383"	"0.00005"	"1"	"1.14e+06"	"4.52e-03"	"-2.044"	B+	"16956.17025"	"36372.618"	"2p6.3p"	"2P*"	"1/2"	"2p6.6s"	"2S"	"1/2"		"c30"	"L15039"	
"515.34024"	"0.00005"	"515.34024"	"0.00005"	"2"	"2.27e+06"	"4.52e-03"	"-1.743"	B+	"16973.36619"	"36372.618"	"2p6.3p"	"2P*"	"3/2"	"2p6.6s"	"2S"	"1/2"		"c30"	"L15039"	
"516.25"	"0.02"	"516.212"	"0.013"	"83"	"1.5e+07"	"6.0e-02"	"-0.44"	D	"266933.9"	"286300.4"	"2p5.(2P*).3s.3p.(3P*)"	"4D"	"5/2"	"2p5.3s.(3P*).4s"	"4P*"	"5/2"		"T5209"	"L6269"	
"525.64"	"0.02"	"525.669"	"0.014"	"7"	"2.e+06"	"1.e-02"	"-1"	D	"267282.3"	"286300.4"	"2p5.(2P*).3s.3p.(3P*)"	"4D"	"3/2"	"2p5.3s.(3P*).4s"	"4P*"	"5/2"		"T5209"	"L6269"	
"562.10"	"0.02"	"562.068"	"0.016"	"42"	"1.4e+07"	"6.6e-02"	"-0.40"	D	"268513.9"	"286300.4"	"2p5.(2P*).3s.3p.(3P*)"	"4P"	"5/2"	"2p5.3s.(3P*).4s"	"4P*"	"5/2"		"T5209"	"L6269"	
"568.26333"	"0.00005"	"568.26333"	"0.00006"	"5"	"1.01e+07"	"9.83e-02"	"-0.706"	A	"16956.17025"	"34548.764"	"2p6.3p"	"2P*"	"1/2"	"2p6.4d"	"2D"	"3/2"		"c30"	"L15039"	
"568.81934"	"0.00005"	"568.81933"	"0.00006"	"1"	"2.02e+06"	"9.82e-03"	"-1.406"	A	"16973.36619"	"34548.764"	"2p6.3p"	"2P*"	"3/2"	"2p6.4d"	"2D"	"3/2"		"c30"	"L15039"	
"568.82046"	"0.00005"	"568.82047"	"0.00006"	"9"	"1.21e+07"	"8.83e-02"	"-0.452"	A	"16973.36619"	"34548.729"	"2p6.3p"	"2P*"	"3/2"	"2p6.4d"	"2D"	"5/2"		"c30"	"L15039"	
"574.42"	"0.02"	"574.454"	"0.017"	"12"	"4.e+06"	"3.e-02"	"-0.9"	D	"268897.4"	"286300.4"	"2p5.(2P*).3s.3p.(3P*)"	"4P"	"3/2"	"2p5.3s.(3P*).4s"	"4P*"	"5/2"		"T5209"	"L6269"	
"588.995095"	"0.000003"	"588.995094"	"0.000003"	"80000"	"6.16e+07"	"6.41e-01"	"0.108"	AA	"0.00000"	"16973.36619"	"2p6.3s"	"2S"	"1/2"	"2p6.3p"	"2P*"	"3/2"		"T6617,T6568,T6567"	"L5918"	
"589.592424"	"0.000003"	"589.592424"	"0.000003"	"40000"	"6.14e+07"	"3.20e-01"	"-0.194"	AA	"0.00000"	"16956.17025"	"2p6.3s"	"2S"	"1/2"	"2p6.3p"	"2P*"	"1/2"		"T6617,T6567"	"L5918"	
"615.42253"	"0.00005"	"615.42255"	"0.00008"	"1"	"2.50e+06"	"1.42e-02"	"-1.547"	A	"16956.17025"	"33200.673"	"2p6.3p"	"2P*"	"1/2"	"2p6.5s"	"2S"	"1/2"		"c30"	"L15039"	
"616.07470"	"0.00005"	"616.07471"	"0.00008"	"2"	"4.98e+06"	"1.42e-02"	"-1.246"	A	"16973.36619"	"33200.673"	"2p6.3p"	"2P*"	"3/2"	"2p6.5s"	"2S"	"1/2"		"c30"	"L15039"	
""	""	"663.19524"	"0.00016"	""	"6.3e+03"	"8.3e-05"	"-3.78"	C'	"25739.999"	"[40814.352]"	"2p6.4s"	"2S"	"1/2"	"2p6.14p"	"2P*"	"3/2"		"T817"	""	
""	""	"663.19872"	"0.00016"	""	"6.3e+03"	"4.2e-05"	"-4.08"	C'	"25739.999"	"[40814.273]"	"2p6.4s"	"2S"	"1/2"	"2p6.14p"	"2P*"	"1/2"		"T817"	""	
""	""	"668.02155"	"0.00016"	""	"8.5e+03"	"1.1e-04"	"-3.64"	C'	"25739.999"	"[40705.444]"	"2p6.4s"	"2S"	"1/2"	"2p6.13p"	"2P*"	"3/2"		"T817"	""	
